method,batch_1,batch_2,batch_pair,cell_type,n_cells_batch_1,n_cells_batch_2,n_cross_distances,n_within_distances_batch_1,n_within_distances_batch_2,median_cross_batch_distance,within_baseline,R_tech,tech_deviation
MNN,celseq,fluidigmc1,celseq vs fluidigmc1,beta,161,258,10000,10000,10000,0.48879194148188954,0.4337306826686704,1.126948037142396,0.11951312675633255
MNN,celseq,fluidigmc1,celseq vs fluidigmc1,delta,50,25,1250,1225,300,0.30688249384097016,0.40125185002753894,0.7648126577358036,0.2681243669951291
MNN,celseq,fluidigmc1,celseq vs fluidigmc1,ductal,304,34,10000,10000,561,0.390794005043175,0.42264878538298484,0.9246306118898592,0.07836095972401319
MNN,celseq,fluidigmc1,celseq vs fluidigmc1,gamma,18,18,324,153,153,0.33131774539748376,0.1951899456297758,1.6974119457254564,0.5291047061894838
MNN,celseq,indrop,celseq vs indrop,acinar,229,500,10000,10000,10000,0.37994308201580584,0.30737174676313267,1.2361028169209,0.21196354078688542
MNN,celseq,indrop,celseq vs indrop,activated_stellate,19,294,5586,171,10000,0.3001104867493267,0.3129414636086923,0.9589987957766771,0.041865459806810355
MNN,celseq,indrop,celseq vs indrop,alpha,213,500,10000,10000,10000,0.6262243398191807,0.5727965972783808,1.0932752442920568,0.08917800209580275
MNN,celseq,indrop,celseq vs indrop,beta,161,500,10000,10000,10000,0.5782560015405184,0.5301347184791287,1.0907718007970537,0.08688551980057857
MNN,celseq,indrop,celseq vs indrop,delta,50,500,10000,1225,10000,0.40044793741172746,0.38119087748079655,1.0505181552564857,0.04928352364428266
MNN,celseq,indrop,celseq vs indrop,ductal,304,500,10000,10000,10000,0.44229340984650145,0.4096920459432333,1.0795752913098668,0.07656771500638644
MNN,celseq,indrop,celseq vs indrop,gamma,18,266,4788,153,10000,0.44475040327000137,0.3910776865531363,1.1372431068361977,0.12860700619324084
MNN,celseq,smartseq2,celseq vs smartseq2,acinar,229,188,10000,10000,10000,0.3369856887732569,0.3245334923404942,1.0383695264946586,0.037651719941015786
MNN,celseq,smartseq2,celseq vs smartseq2,activated_stellate,19,55,1045,171,1485,0.21349518519024707,0.1271799536273639,1.6786858235204742,0.5180112393951467
MNN,celseq,smartseq2,celseq vs smartseq2,alpha,213,500,10000,10000,10000,0.5769202833551972,0.5283344858106475,1.0919602994871749,0.08797452088085049
MNN,celseq,smartseq2,celseq vs smartseq2,beta,161,308,10000,10000,10000,0.5386333133751138,0.4785749743608446,1.1254941069463136,0.11822214540808451
MNN,celseq,smartseq2,celseq vs smartseq2,delta,50,127,6350,1225,8001,0.3564649792885918,0.2895033047272224,1.2312984807702365,0.2080692879738391
MNN,celseq,smartseq2,celseq vs smartseq2,ductal,304,444,10000,10000,10000,0.3857274551471769,0.37227374195744944,1.0361393020066003,0.035501596194500384
MNN,celseq,smartseq2,celseq vs smartseq2,gamma,18,213,3834,153,10000,0.41123562473888214,0.30415333395246075,1.3520667993176048,0.3016343841795417
MNN,celseq2,fluidigmc1,celseq2 vs fluidigmc1,acinar,274,21,5754,10000,210,0.3135987382599048,0.27931492953043247,1.1227424856491137,0.11577434015468616
